#	 type	x	y	w	h	ani_set_id	extra_settings per object type
#con cua						type(biến phụ)
#9	2	672	1152	48	48	5	2	100
10	2	1584	1195	48	48	5	2	100
11	2	2497	1147	48	48	5	2	100
12	2	2640	1147	48	48	5	2	100
#cua do
13	2	2900	1148	60	57	6	2	105

#cay hoa						xanhdo?
20	7	1106	1080	48	96	13	1	1
21	7	5615	1130	48	72	13	2	2
22	8	5424	1160	48	72	19	2


#conco	loai 0=xanh 1=cocanh  2=do   3=do co canh	#
14	4	1728	1051	48	78	8	2	100

15	4	3978	864	48	78	8	1	102
16	4	4092	864	48	78	8	1	102
17	4	4206	864	48	78	8	1	102

18	4	4416	1152	48	78	8	0	100

19	4	6288	1056	48	78	8	2	100


