# 	type	x	y	w	h	ani_set_id	extra_settings per object type

#moving platform
95	15	1104	960	144	48	28	3
96	15	1776	912	144	48	28	3
97	15	1680	1056	144	48	28	3
98	15	1872	1200	144	48	28	3
99	15	2256	1008	144	48	28	3
100	15	3264	1152	144	48	28	3
101	15	3600	960	144	48	28	3
102	15	4224	1008	144	48	28	3
103	15	4128	1056	144	48	28	3

104	15	4648	912	144	48	28	3
105	15	5328	1008	144	48	28	3
106	15	5232	1152	144	48	28	3

# bling bling brick
# loai	x	y	w	h	animation_set	type_object
1	11	672	1056	48	48	3	3	0
2	11	720	1056	48	48	3	3	0
3	11	768	1056	48	48	3	3	0
4	11	816	1056	48	48	3	3	0

5	11	1152	1008	48	48	3	3	0
6	11	1200	1008	48	48	3	3	0
7	11	1248	1008	48	48	3	3	0
8	11	1296	1008	48	48	3	3	0
9	11	1344	1008	48	48	3	3	0

10	11	1824	864	48	48	3	3	0
11	11	1872	864	48	48	3	3	0
#12	11	1920	864	48	48	3	3	2
13	11	1968	864	48	48	3	3	0

14	11	1920	1104	48	48	3	3	0
15	11	1968	1104	48	48	3	3	0

16	11	2256	960	48	48	3	3	0

17	11	2256	1056	48	48	3	3	0



18	11	2256	1104	48	48	3	3	0
19	11	2304	1104	48	48	3	3	0
20	11	2352	1104	48	48	3	3	0
21	11	2400	1104	48	48	3	3	0


22	11	2592	1008	48	48	3	3	0
23	11	2592	1056	48	48	3	3	0
24	11	2592	1104	48	48	3	3	0

25	11	2592	1152	48	48	3	3	0
26	11	2640	1152	48	48	3	3	0
27	11	2688	1152	48	48	3	3	0

28	11	2832	1008	48	48	3	3	0

29	11	2832	1056	48	48	3	3	0


31	11	2880	1200	48	48	3	3	0
32	11	2928	1200	48	48	3	3	0
33	11	2976	1200	48	48	3	3	0
34	11	3024	1200	48	48	3	3	0


36	11	3072	1056	48	48	3	3	0
37	11	3120	1056	48	48	3	3	0
38	11	3168	1056	48	48	3	3	0
39	11	3216	1056	48	48	3	3	0

41	11	3552	912	48	48	3	3	0
42	11	3600	912	48	48	3	3	0
43	11	3648	912	48	48	3	3	0
44	11	3696	912	48	48	3	3	0


45	11	3456	1152	48	48	3	3	0
46	11	3504	1152	48	48	3	3	0
47	11	3552	1152	48	48	3	3	0
48	11	3600	1152	48	48	3	3	0
49	11	3648	1152	48	48	3	3	0

50	11	3792	1104	48	48	3	3	0
51	11	3840	1104	48	48	3	3	0

52	11	4176	912	48	48	3	3	0
53	11	4224	912	48	48	3	3	0
54	11	4272	912	48	48	3	3	0

56	11	4608	912	48	48	3	3	0


57	11	4608	1104	48	48	3	3	0

58	11	4608	1152	48	48	3	3	0



59	11	4608	1200	48	48	3	3	0
60	11	4656	1200	48	48	3	3	0
61	11	4704	1200	48	48	3	3	0
62	11	4752	1200	48	48	3	3	0


63	11	5184	864	48	48	3	3	0
64	11	5184	912	48	48	3	3	0
65	11	5184	960	48	48	3	3	0



66	11	5328	1104	48	48	3	3	0
67	11	5376	1104	48	48	3	3	0
68	11	5424	1104	48	48	3	3	0








